ProblemNo,Connection,Cost
32,16525 : 8 -> 9 ; 16650 : 8 -> 9 ; 12643 : 2 -> 3 ; 12515 : 2 -> 3 ; 16127 : 36 -> 37 ; 22641 : 5 -> 6 ; 12512 : 6 -> 7 ; 16342 : 12 -> 13 ; 16307 : 2 -> 3 ; 16316 : 9 -> 10 ; 22208 : 4 -> 5 ; 12507 : 16 -> 17 ; 16562 : 12 -> 13 ; 06544 : 7 -> 8 ; 12639 : 9 -> 10 ; 22601 : 5 -> 6 ; 12609 : 14 -> 15 ; 56214 : 24 -> 25 ; 16021 : 12 -> 13 ; 12510 : 39 -> 40 ; 11013 : 24 -> 25 ; 54702 : 3 -> 4 ; 54701 : 31 -> 32 ; 54703 : 31 -> 33 ; 12458 : 1 -> 2 ; 04735 : 2 -> 4 ; 12458 : 4 -> 5 ; 22471 : 5 -> 6 ; 12372 : 7 -> 8 ; 04735 : 6 -> 7 ; 12372 : 9 -> 10 ; 04735 : 8 -> 9 ; 14706 : 14 -> 15 ; 04735 : 10 -> 11 ; 12065 : 7 -> 8 ; 12413 : 12 -> 13 ; 14312 : 34 -> 35 ; 19031 : 33 -> 35 ; 19325 : 15 -> 16 ; 22824 : 3 -> 4 ; 12314 : 3 -> 4 ; 12487 : 12 -> 13 ; 18202 : 12 -> 13 ; 19046 : 17 -> 19 ; 11082 : 9 -> 10 ; 12792 : 11 -> 12 ; 19050 : 5 -> 6 ; 18233 : 44 -> 45 ; 18234 : 29 -> 30,71460
33,17239 : 23 -> 24 ; 57229 : 31 -> 32 ; 07723 : 18 -> 19 ; 12245 : 4 -> 5 ; 12514 : 29 -> 30 ; 12213 : 9 -> 11 ; 12159 : 7 -> 9 ; 19302 : 22 -> 23 ; 11045 : 20 -> 21 ; 12643 : 25 -> 26 ; 11207 : 8 -> 9 ; 12188 : 12 -> 13 ; 12159 : 16 -> 17 ; 22187 : 6 -> 7 ; 13202 : 32 -> 33 ; 11271 : 15 -> 16,37380
34,16629 : 42 -> 43 ; 12617 : 15 -> 16 ; 22610 : 11 -> 12 ; 16347 : 43 -> 44 ; 12601 : 29 -> 30 ; 16565 : 20 -> 21 ; 22114 : 14 -> 15 ; 12134 : 1 -> 2 ; 22636 : 2 -> 3 ; 16523 : 17 -> 18 ; 16336 : 28 -> 29 ; 12977 : 10 -> 11 ; 12134 : 5 -> 6 ; 16336 : 31 -> 32 ; 16334 : 32 -> 34 ; 16523 : 26 -> 27 ; 12620 : 12 -> 13 ; 12202 : 17 -> 18 ; 22633 : 15 -> 16 ; 12224 : 2 -> 3 ; 12071 : 2 -> 3 ; 01081 : 3 -> 4 ; 01713 : 4 -> 5 ; 12336 : 4 -> 5 ; 12105 : 6 -> 7 ; 12137 : 9 -> 10 ; 12834 : 47 -> 48 ; 59014 : 6 -> 8,56700
35,15111 : 7 -> 8 ; 15008 : 29 -> 31 ; 15111 : 10 -> 11 ; 15008 : 34 -> 35 ; 15159 : 12 -> 13 ; 11062 : 11 -> 12 ; 18202 : 8 -> 9 ; 12323 : 7 -> 8 ; 12295 : 31 -> 32 ; 12942 : 13 -> 14 ; 13007 : 60 -> 61 ; 15004 : 26 -> 27 ; 12825 : 9 -> 10 ; 12349 : 13 -> 14 ; 12501 : 18 -> 19 ; 12015 : 1 -> 2 ; 09628 : 2 -> 3 ; 12215 : 3 -> 4 ; 12457 : 4 -> 5 ; 04736 : 9 -> 11 ; 12371 : 22 -> 23 ; 04736 : 12 -> 13 ; 12457 : 9 -> 11 ; 22472 : 10 -> 11 ; 12371 : 26 -> 28 ; 12456 : 1 -> 2 ; 54702 : 1 -> 3 ; 11013 : 25 -> 26 ; 12079 : 1 -> 2 ; 12213 : 1 -> 4 ; 19567 : 15 -> 16 ; 12975 : 8 -> 9 ; 12251 : 5 -> 6 ; 17604 : 13 -> 14 ; 12193 : 7 -> 8,55440
36,54805 : 58 -> 60 ; 19031 : 17 -> 18 ; 54801 : 16 -> 17 ; 12915 : 8 -> 9 ; 11203 : 23 -> 24 ; 09722 : 9 -> 11 ; 19029 : 19 -> 20 ; 12982 : 11 -> 12 ; 09627 : 6 -> 7 ; 12982 : 13 -> 14 ; 09627 : 9 -> 11 ; 12065 : 7 -> 8 ; 12413 : 12 -> 13 ; 14312 : 34 -> 35 ; 19031 : 33 -> 35 ; 19325 : 15 -> 16 ; 22824 : 3 -> 4 ; 12314 : 3 -> 4 ; 12310 : 5 -> 6 ; 12440 : 6 -> 8 ; 12302 : 7 -> 8 ; 12176 : 26 -> 27 ; 22812 : 6 -> 7 ; 22876 : 3 -> 4 ; 12884 : 4 -> 6 ; 12552 : 14 -> 15 ; 12816 : 21 -> 22 ; 12282 : 5 -> 6 ; 12822 : 4 -> 5,61140
37,58111 : 61 -> 62 ; 12069 : 10 -> 11 ; 12843 : 23 -> 24 ; 12854 : 30 -> 31 ; 12843 : 25 -> 26 ; 12409 : 10 -> 11 ; 12812 : 8 -> 9 ; 12851 : 5 -> 6 ; 12252 : 12 -> 13 ; 12851 : 8 -> 9 ; 12252 : 14 -> 17 ; 12214 : 10 -> 11 ; 17249 : 17 -> 18 ; 07719 : 8 -> 9 ; 57626 : 29 -> 31 ; 17405 : 42 -> 43 ; 57626 : 32 -> 33 ; 57620 : 5 -> 6 ; 12734 : 3 -> 5 ; 57651 : 12 -> 13,32460
38,54802 : 4 -> 5 ; 16209 : 3 -> 4 ; 11090 : 24 -> 25 ; 15014 : 28 -> 29 ; 16508 : 46 -> 47 ; 22477 : 1 -> 2 ; 04801 : 2 -> 3 ; 14810 : 3 -> 6 ; 22479 : 5 -> 7 ; 54702 : 1 -> 3 ; 11013 : 25 -> 26 ; 12079 : 1 -> 2 ; 12836 : 1 -> 2 ; 12539 : 2 -> 3 ; 17315 : 16 -> 17 ; 12608 : 6 -> 8 ; 15905 : 18 -> 19 ; 11043 : 20 -> 22 ; 12693 : 3 -> 4 ; 16723 : 4 -> 5 ; 16177 : 5 -> 6,38040
39,15232 : 17 -> 18 ; 12295 : 31 -> 32 ; 22806 : 3 -> 4 ; 12310 : 5 -> 6 ; 12440 : 6 -> 8 ; 12302 : 7 -> 8 ; 12176 : 26 -> 27 ; 15022 : 10 -> 11 ; 13301 : 6 -> 7 ; 58014 : 10 -> 12,24120
40,18233 : 60 -> 61 ; 15159 : 36 -> 37,2
41,15159 : 44 -> 46,2
42,11472 : 7 -> 18 ; 18233 : 4 -> 5,11
43,18233 : 59 -> 61 ; 15159 : 36 -> 43,9
44,19713 : 3 -> 7 ; 17019 : 8 -> 10 ; 12433 : 5 -> 8,9
45,17019 : 6 -> 9 ; 18233 : 9 -> 72 ; 15159 : 40 -> 46,19
46,12433 : 8 -> 9,1
47,15159 : 30 -> 37 ; 18233 : 66 -> 67,8
48,12062 : 9 -> 10,1
49,15159 : 38 -> 46,8
50,57257 : 11 -> 12 ; 57258 : 80 -> 81 ; 12539 : 8 -> 9 ; 12551 : 6 -> 8 ; 06336 : 30 -> 31 ; 17016 : 30 -> 32,8
51,14223 : 4 -> 5 ; 12567 : 8 -> 9 ; 12349 : 9 -> 10 ; 12367 : 19 -> 20 ; 05028 : 1 -> 2 ; 12229 : 6 -> 7 ; 14164 : 2 -> 3 ; 24512 : 2 -> 3,8
52,12609 : 6 -> 7 ; 02509 : 2 -> 3 ; 12269 : 1 -> 2 ; 11037 : 8 -> 9 ; 11053 : 8 -> 9 ; 51702 : 6 -> 7,6
53,18409 : 14 -> 15 ; 06336 : 36 -> 37 ; 12246 : 5 -> 6 ; 12253 : 22 -> 23 ; 12321 : 6 -> 7,5
54,57130 : 11 -> 12 ; 12219 : 5 -> 6 ; 12649 : 5 -> 6 ; 22679 : 4 -> 5 ; 02590 : 7 -> 8 ; 22812 : 2 -> 3 ; 12302 : 6 -> 7 ; 15619 : 1 -> 2 ; 13024 : 4 -> 5,9
55,59208 : 17 -> 18 ; 19006 : 7 -> 8 ; 19269 : 3 -> 4 ; 12949 : 7 -> 8 ; 19453 : 4 -> 26 ; 58530 : 28 -> 29,15
56,13241 : 6 -> 7 ; 12254 : 1 -> 4 ; 12361 : 5 -> 6 ; 12305 : 5 -> 6 ; 12142 : 5 -> 6 ; 11062 : 19 -> 20 ; 11452 : 4 -> 5 ; 51702 : 11 -> 12,10
57,01402 : 15 -> 16 ; 11076 : 7 -> 8 ; 11012 : 11 -> 12 ; 22695 : 4 -> 5 ; 12217 : 16 -> 17 ; 12247 : 5 -> 6 ; 14009 : 20 -> 21 ; 12549 : 13 -> 14 ; 04923 : 6 -> 7 ; 12005 : 4 -> 5 ; 72451 : 1 -> 2 ; 52453 : 4 -> 7 ; 52457 : 13 -> 14,15
58,14650 : 55 -> 56 ; 12569 : 3 -> 4 ; 04407 : 1 -> 5 ; 14005 : 17 -> 18 ; 13020 : 31 -> 32,8
59,52974 : 14 -> 16 ; 02111 : 7 -> 8 ; 02590 : 6 -> 7 ; 12286 : 2 -> 3 ; 12650 : 5 -> 6 ; 12785 : 1 -> 2 ; 57306 : 44 -> 45,8
60,17019 : 13 -> 19,16:59:00
61,11472 : 2 -> 8,01:04:38:00
62,18233 : 47 -> 67,15:29:00
63,15159 : 45 -> 46,01:07:30:00
64,15159 : 18 -> 34,01:00:03:00
65,18233 : 26 -> 27 ; 12062 : 7 -> 10 ; 11472 : 9 -> 14,02:07:10:00
66,15159 : 35 -> 44,01:06:10:00
67,19713 : 14 -> 15,13:53:00
68,19713 : 2 -> 12 ; 12183 : 1 -> 5 ; 12433 : 6 -> 8,02:07:55:00
69,17019 : 23 -> 26,01:04:05:00
70,58112 : 27 -> 31 ; 18240 : 13 -> 18 ; 12767 : 11 -> 16 ; 22851 : 2 -> 6 ; 18516 : 14 -> 19,02:05:45:00
71,54703 : 30 -> 31 ; 54702 : 2 -> 3 ; 11013 : 25 -> 26 ; 16594 : 1 -> 4 ; 12213 : 2 -> 6 ; 16592 : 19 -> 30 ; 56904 : 5 -> 6,02:18:45:00
72,14810 : 5 -> 6 ; 22479 : 5 -> 7 ; 54702 : 1 -> 3 ; 11013 : 25 -> 26 ; 16594 : 1 -> 4 ; 12213 : 2 -> 4 ; 16332 : 24 -> 26 ; 16351 : 18 -> 19 ; 57274 : 31 -> 33,02:11:44:00
73,19046 : 4 -> 5 ; 14005 : 29 -> 31 ; 18312 : 1 -> 3 ; 12520 : 13 -> 18 ; 16032 : 40 -> 43 ; 59385 : 33 -> 36,02:01:41:00
74,11402 : 12 -> 15 ; 18310 : 2 -> 6 ; 12214 : 12 -> 14 ; 11017 : 12 -> 24 ; 12635 : 5 -> 7 ; 16178 : 7 -> 8,02:00:17:00
75,52076 : 2 -> 16 ; 16312 : 37 -> 39 ; 24887 : 37 -> 38 ; 12489 : 5 -> 12 ; 22483 : 10 -> 11 ; 14321 : 37 -> 38,02:04:55:00
76,56101 : 1 -> 4 ; 16382 : 35 -> 37 ; 06544 : 7 -> 10 ; 16021 : 13 -> 14 ; 11013 : 24 -> 25 ; 54702 : 3 -> 34 ; 19225 : 1 -> 3 ; 14731 : 25 -> 29,04:01:05:00
77,13245 : 4 -> 6 ; 15620 : 9 -> 10 ; 13160 : 8 -> 13 ; 13043 : 3 -> 5 ; 13288 : 19 -> 29 ; 12222 : 2 -> 3 ; 12812 : 5 -> 6 ; 22848 : 12 -> 13 ; 58529 : 14 -> 18,01:22:46:00
78,12759 : 4 -> 5 ; 12709 : 3 -> 4 ; 57257 : 20 -> 21,01:05:41:00
79,11124 : 20 -> 27 ; 12566 : 6 -> 11 ; 11124 : 44 -> 46,01:11:57:00
